algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
ann,0.527,0.791,0.123,0.094,all_ex_som_1
ann,0.616,0.651,0.113,0.12,all_ex_som_2
ann,0.646,0.611,0.115,0.121,all_ex_som_3
ann,0.631,0.595,0.119,0.121,all_ex_som_4
ann,0.593,0.6,0.124,0.121,all_ex_som_5
