config,R2(mlr),R2(rf),R2(svr),R2(ann),RMSE(mlr),RMSE(rf),RMSE(svr),RMSE(ann),input,output
all_ex_som_1,0.645,0.7,0.71,0.703,0.113,0.106,0.104,0.105,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_2,0.621,0.721,0.746,0.691,0.119,0.102,0.097,0.107,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_3,0.633,0.735,0.737,0.75,0.118,0.1,0.098,0.097,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_4,0.61,0.748,0.747,0.746,0.12,0.097,0.097,0.097,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
all_ex_som_5,0.593,0.76,0.74,0.748,0.123,0.095,0.098,0.097,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12-elevation-moisture-temp,som
