algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.609,0.688,0.798,0.846,0.872,0.88,0.657,0.489,0.51,0.801,0.1,0.102,0.08,0.087,0.077,0.086,0.108,0.121,0.111,0.081,all_ex_som_1_col
siamese,0.541,0.852,0.726,0.849,0.709,0.695,0.672,0.494,0.736,0.826,0.077,0.079,0.106,0.087,0.107,0.099,0.123,0.101,0.101,0.079,all_ex_som_2_col
siamese,0.772,0.796,0.701,0.824,0.43,0.728,0.58,0.436,0.758,0.86,0.075,0.09,0.121,0.083,0.127,0.087,0.117,0.133,0.097,0.085,all_ex_som_3_col
siamese,0.744,0.617,0.475,0.718,0.585,0.692,0.557,0.76,0.771,0.768,0.088,0.104,0.101,0.091,0.136,0.122,0.104,0.093,0.101,0.122,all_ex_som_4_col
siamese,0.717,0.453,0.747,0.624,0.818,0.778,0.638,0.764,0.657,0.746,0.098,0.13,0.096,0.101,0.095,0.114,0.112,0.083,0.101,0.097,all_ex_som_5_col
