algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.632,0.439,0.357,0.565,0.106,0.0,0.458,0.293,0.498,0.569,0.134,0.152,0.135,0.137,0.176,0.165,0.142,0.157,0.112,0.142,bands_1_row
mlr,0.289,0.462,0.281,0.327,0.273,0.434,0.549,0.402,0.536,0.572,0.164,0.158,0.153,0.129,0.171,0.137,0.145,0.117,0.147,0.132,bands_2_row
mlr,0.36,0.163,0.544,0.431,0.433,0.418,0.46,0.352,0.317,0.397,0.161,0.152,0.142,0.135,0.139,0.143,0.135,0.152,0.173,0.16,bands_3_row
mlr,0.355,0.402,0.436,0.403,0.337,0.21,0.252,0.466,0.358,0.333,0.159,0.13,0.15,0.149,0.147,0.162,0.177,0.146,0.159,0.165,bands_4_row
mlr,0.447,0.297,0.287,0.238,0.269,0.333,0.212,0.097,0.347,0.241,0.158,0.154,0.166,0.156,0.159,0.151,0.19,0.164,0.164,0.162,bands_5_row
mlr,0.45,0.484,0.598,0.125,0.436,0.03,0.532,0.255,0.486,0.348,0.168,0.133,0.162,0.118,0.152,0.159,0.129,0.155,0.127,0.142,bands_1_col
mlr,0.661,0.372,0.663,0.603,0.35,0.698,0.534,0.801,0.397,0.0,0.144,0.12,0.092,0.106,0.125,0.126,0.147,0.101,0.152,0.147,bands_2_col
mlr,0.652,0.54,0.0,0.67,0.66,0.499,0.43,0.582,0.559,0.365,0.123,0.133,0.124,0.119,0.12,0.147,0.112,0.136,0.097,0.157,bands_3_col
mlr,0.286,0.337,0.499,0.658,0.009,0.59,0.549,0.548,0.511,0.661,0.132,0.137,0.144,0.124,0.13,0.117,0.132,0.142,0.157,0.113,bands_4_col
mlr,0.457,0.628,0.483,0.71,0.404,0.632,0.519,0.408,0.759,0.482,0.134,0.124,0.127,0.099,0.117,0.128,0.124,0.131,0.128,0.128,bands_5_col
mlr,0.443,0.571,0.477,0.321,0.257,0.517,0.461,0.339,0.53,0.342,0.126,0.116,0.151,0.167,0.155,0.108,0.145,0.164,0.135,0.18,bands_1_mean
mlr,0.644,0.267,0.676,0.371,0.412,0.571,0.715,0.526,0.487,0.482,0.12,0.156,0.119,0.139,0.141,0.126,0.106,0.13,0.138,0.144,bands_2_mean
mlr,0.66,0.237,0.454,0.612,0.0,0.448,0.296,0.557,0.441,0.455,0.118,0.138,0.138,0.134,0.124,0.132,0.131,0.162,0.121,0.167,bands_3_mean
mlr,0.35,0.279,0.467,0.574,0.411,0.389,0.456,0.319,0.687,0.673,0.117,0.165,0.162,0.14,0.137,0.148,0.144,0.126,0.104,0.128,bands_4_mean
mlr,0.227,0.461,0.469,0.512,0.4,0.519,0.256,0.644,0.26,0.457,0.138,0.136,0.155,0.134,0.148,0.142,0.137,0.143,0.166,0.124,bands_5_mean
mlr,0.192,0.609,0.615,0.406,0.543,0.461,0.543,0.49,0.678,0.584,0.154,0.132,0.134,0.14,0.111,0.12,0.153,0.103,0.117,0.123,props_ex_som_1_row
mlr,0.616,0.654,0.567,0.596,0.471,0.654,0.476,0.434,0.46,0.443,0.141,0.118,0.124,0.121,0.134,0.112,0.138,0.125,0.144,0.134,props_ex_som_2_row
mlr,0.404,0.571,0.368,0.608,0.477,0.652,0.46,0.654,0.544,0.564,0.125,0.143,0.132,0.127,0.137,0.122,0.133,0.128,0.12,0.124,props_ex_som_3_row
mlr,0.581,0.497,0.643,0.613,0.589,0.425,0.563,0.472,0.516,0.528,0.126,0.132,0.129,0.122,0.142,0.129,0.123,0.124,0.133,0.13,props_ex_som_4_row
mlr,0.521,0.55,0.551,0.498,0.491,0.616,0.507,0.371,0.603,0.68,0.128,0.126,0.129,0.126,0.127,0.134,0.126,0.141,0.12,0.13,props_ex_som_5_row
mlr,0.528,0.659,0.536,0.169,0.689,0.444,0.393,0.563,0.73,0.438,0.124,0.112,0.147,0.153,0.125,0.127,0.127,0.136,0.102,0.143,props_ex_som_1_col
mlr,0.346,0.66,0.68,0.524,0.645,0.125,0.427,0.336,0.403,0.682,0.138,0.124,0.137,0.137,0.129,0.131,0.129,0.147,0.106,0.122,props_ex_som_2_col
mlr,0.588,0.665,0.582,0.657,0.36,0.014,0.525,0.604,0.359,0.558,0.122,0.123,0.135,0.13,0.132,0.147,0.124,0.118,0.156,0.12,props_ex_som_3_col
mlr,0.477,0.814,0.543,0.715,0.52,0.159,0.503,0.54,0.388,0.362,0.14,0.082,0.114,0.13,0.14,0.13,0.15,0.117,0.153,0.138,props_ex_som_4_col
mlr,0.511,0.0,0.585,0.251,0.767,0.524,0.487,0.012,0.696,0.776,0.117,0.153,0.127,0.151,0.115,0.138,0.138,0.126,0.132,0.1,props_ex_som_5_col
mlr,0.385,0.582,0.235,0.77,0.469,0.607,0.367,0.307,0.555,0.373,0.126,0.157,0.155,0.102,0.113,0.145,0.12,0.11,0.134,0.133,props_ex_som_1_mean
mlr,0.454,0.72,0.337,0.447,0.0,0.455,0.396,0.66,0.707,0.68,0.132,0.12,0.126,0.142,0.131,0.132,0.158,0.139,0.11,0.105,props_ex_som_2_mean
mlr,0.453,0.248,0.454,0.601,0.329,0.718,0.693,0.565,0.421,0.676,0.154,0.137,0.14,0.11,0.134,0.122,0.117,0.106,0.157,0.111,props_ex_som_3_mean
mlr,0.339,0.412,0.519,0.688,0.562,0.313,0.562,0.629,0.684,0.5,0.14,0.136,0.122,0.105,0.144,0.151,0.111,0.122,0.137,0.124,props_ex_som_4_mean
mlr,0.758,0.466,0.619,0.587,0.504,0.312,0.492,0.334,0.347,0.634,0.12,0.132,0.12,0.119,0.127,0.127,0.142,0.139,0.141,0.134,props_ex_som_5_mean
mlr,0.629,0.722,0.735,0.687,0.318,0.772,0.564,0.632,0.643,0.653,0.129,0.124,0.107,0.093,0.119,0.079,0.123,0.117,0.118,0.095,all_ex_som_1_row
mlr,0.567,0.631,0.74,0.492,0.601,0.672,0.8,0.618,0.552,0.655,0.12,0.105,0.105,0.131,0.122,0.121,0.103,0.102,0.122,0.112,all_ex_som_2_row
mlr,0.627,0.672,0.679,0.634,0.649,0.681,0.59,0.651,0.661,0.375,0.114,0.118,0.109,0.111,0.12,0.123,0.112,0.104,0.131,0.117,all_ex_som_3_row
mlr,0.558,0.539,0.598,0.589,0.67,0.645,0.612,0.682,0.593,0.601,0.119,0.125,0.12,0.124,0.11,0.125,0.124,0.113,0.127,0.115,all_ex_som_4_row
mlr,0.708,0.569,0.574,0.521,0.547,0.539,0.589,0.665,0.637,0.545,0.119,0.122,0.12,0.118,0.126,0.132,0.114,0.118,0.124,0.13,all_ex_som_5_row
mlr,0.641,0.739,0.673,0.715,0.73,0.794,0.381,0.521,0.429,0.534,0.115,0.122,0.105,0.106,0.107,0.095,0.131,0.108,0.131,0.111,all_ex_som_1_col
mlr,0.592,0.514,0.589,0.653,0.743,0.542,0.807,0.653,0.823,0.758,0.105,0.123,0.113,0.097,0.096,0.119,0.097,0.106,0.097,0.108,all_ex_som_2_col
mlr,0.636,0.697,0.74,0.272,0.657,0.756,0.81,0.583,0.603,0.359,0.101,0.113,0.115,0.109,0.124,0.095,0.085,0.139,0.121,0.127,all_ex_som_3_col
mlr,0.633,0.462,0.683,0.616,0.822,0.36,0.69,0.713,0.792,0.209,0.118,0.134,0.116,0.108,0.107,0.155,0.091,0.087,0.097,0.13,all_ex_som_4_col
mlr,0.754,0.292,0.53,0.731,0.797,0.669,0.615,0.665,0.715,0.652,0.104,0.117,0.141,0.098,0.087,0.096,0.125,0.127,0.095,0.123,all_ex_som_5_col
mlr,0.656,0.559,0.428,0.742,0.672,0.431,0.466,0.56,0.724,0.729,0.134,0.093,0.12,0.102,0.112,0.08,0.147,0.104,0.128,0.113,all_ex_som_1_mean
mlr,0.713,0.607,0.529,0.585,0.805,0.443,0.841,0.713,0.631,0.615,0.097,0.11,0.116,0.116,0.101,0.112,0.089,0.092,0.121,0.133,all_ex_som_2_mean
mlr,0.74,0.783,0.692,0.538,0.726,0.422,0.659,0.817,0.532,0.535,0.101,0.106,0.088,0.095,0.115,0.15,0.112,0.086,0.134,0.1,all_ex_som_3_mean
mlr,0.593,0.459,0.739,0.316,0.757,0.732,0.608,0.792,0.587,0.551,0.119,0.135,0.085,0.111,0.107,0.13,0.115,0.107,0.092,0.118,all_ex_som_4_mean
mlr,0.636,0.65,0.747,0.407,0.701,0.467,0.497,0.653,0.601,0.747,0.087,0.115,0.125,0.121,0.083,0.144,0.123,0.112,0.121,0.117,all_ex_som_5_mean
rf,0.552,0.273,0.333,0.385,0.606,0.332,0.834,0.289,0.592,0.369,0.135,0.115,0.162,0.155,0.127,0.164,0.082,0.151,0.138,0.142,bands_1_row
rf,0.503,0.049,0.626,0.213,0.312,0.349,0.107,0.519,0.507,0.225,0.158,0.162,0.137,0.154,0.14,0.123,0.181,0.132,0.166,0.159,bands_2_row
rf,0.154,0.395,0.36,0.326,0.064,0.286,0.388,0.466,0.378,0.351,0.158,0.149,0.148,0.158,0.143,0.162,0.153,0.165,0.179,0.148,bands_3_row
rf,0.367,0.277,0.403,0.229,0.272,0.308,0.238,0.339,0.281,0.372,0.145,0.149,0.152,0.148,0.201,0.153,0.171,0.161,0.145,0.167,bands_4_row
rf,0.312,0.241,0.216,0.281,0.296,0.203,0.293,0.249,0.315,0.236,0.174,0.179,0.157,0.151,0.165,0.162,0.163,0.171,0.16,0.17,bands_5_row
rf,0.625,0.452,0.434,0.52,0.0,0.26,0.372,0.47,0.479,0.436,0.142,0.143,0.13,0.163,0.169,0.13,0.116,0.111,0.147,0.166,bands_1_col
rf,0.732,0.329,0.658,0.608,0.409,0.606,0.0,0.715,0.226,0.403,0.104,0.151,0.122,0.137,0.14,0.12,0.149,0.122,0.131,0.14,bands_2_col
rf,0.531,0.625,0.529,0.222,0.653,0.548,0.64,0.37,0.687,0.27,0.135,0.097,0.132,0.153,0.102,0.118,0.126,0.186,0.126,0.114,bands_3_col
rf,0.584,0.567,0.331,0.712,0.127,0.441,0.335,0.605,0.389,0.641,0.134,0.127,0.127,0.121,0.168,0.095,0.181,0.124,0.105,0.124,bands_4_col
rf,0.0,0.707,0.803,0.251,0.66,0.367,0.705,0.199,0.638,0.607,0.165,0.117,0.097,0.139,0.115,0.135,0.126,0.125,0.129,0.101,bands_5_col
rf,0.54,0.013,0.634,0.105,0.676,0.572,0.303,0.507,0.36,0.444,0.125,0.121,0.135,0.168,0.114,0.129,0.145,0.156,0.142,0.161,bands_1_mean
rf,0.569,0.546,0.406,0.22,0.527,0.485,0.564,0.668,0.551,0.725,0.144,0.11,0.134,0.141,0.144,0.138,0.143,0.12,0.105,0.106,bands_2_mean
rf,0.355,0.468,0.688,0.131,0.333,0.476,0.675,0.445,0.517,0.69,0.16,0.14,0.134,0.167,0.11,0.114,0.133,0.097,0.133,0.124,bands_3_mean
rf,0.519,0.731,0.505,0.614,0.373,0.578,0.299,0.546,0.659,0.41,0.129,0.104,0.149,0.157,0.134,0.115,0.145,0.112,0.116,0.117,bands_4_mean
rf,0.493,0.635,0.273,0.547,0.54,0.501,0.625,0.617,0.546,0.202,0.143,0.109,0.157,0.15,0.11,0.106,0.138,0.113,0.147,0.144,bands_5_mean
rf,0.52,0.518,0.605,0.594,0.658,0.741,0.821,0.562,0.805,0.602,0.104,0.101,0.119,0.141,0.094,0.099,0.103,0.103,0.086,0.12,props_ex_som_1_row
rf,0.742,0.779,0.784,0.545,0.776,0.776,0.745,0.746,0.665,0.741,0.096,0.081,0.099,0.136,0.085,0.084,0.104,0.096,0.108,0.1,props_ex_som_2_row
rf,0.746,0.637,0.743,0.805,0.788,0.672,0.685,0.731,0.741,0.814,0.099,0.094,0.099,0.097,0.093,0.097,0.102,0.089,0.103,0.095,props_ex_som_3_row
rf,0.722,0.739,0.702,0.717,0.755,0.724,0.845,0.788,0.788,0.751,0.102,0.099,0.097,0.101,0.091,0.101,0.077,0.089,0.094,0.097,props_ex_som_4_row
rf,0.755,0.728,0.736,0.797,0.746,0.803,0.751,0.749,0.752,0.71,0.092,0.097,0.096,0.094,0.094,0.094,0.096,0.099,0.094,0.098,props_ex_som_5_row
rf,0.592,0.648,0.711,0.533,0.233,0.641,0.792,0.718,0.794,0.811,0.112,0.127,0.098,0.13,0.118,0.109,0.084,0.097,0.103,0.081,props_ex_som_1_col
rf,0.716,0.79,0.725,0.697,0.586,0.707,0.702,0.647,0.39,0.71,0.103,0.099,0.12,0.095,0.105,0.095,0.102,0.105,0.11,0.126,props_ex_som_2_col
rf,0.626,0.737,0.21,0.327,0.88,0.532,0.744,0.684,0.816,0.698,0.113,0.099,0.155,0.129,0.078,0.102,0.094,0.101,0.098,0.118,props_ex_som_3_col
rf,0.742,0.58,0.575,0.563,0.693,0.707,0.826,0.673,0.746,0.5,0.103,0.142,0.096,0.09,0.119,0.09,0.099,0.104,0.097,0.12,props_ex_som_4_col
rf,0.67,0.788,0.622,0.593,0.678,0.725,0.757,0.46,0.618,0.766,0.117,0.086,0.098,0.113,0.097,0.082,0.122,0.13,0.108,0.114,props_ex_som_5_col
rf,0.76,0.539,0.543,0.586,0.761,0.702,0.667,0.608,0.81,0.718,0.086,0.134,0.12,0.12,0.103,0.11,0.096,0.095,0.096,0.121,props_ex_som_1_mean
rf,0.669,0.398,0.526,0.391,0.736,0.8,0.512,0.817,0.593,0.832,0.095,0.127,0.117,0.123,0.096,0.109,0.106,0.1,0.129,0.082,props_ex_som_2_mean
rf,0.819,0.608,0.521,0.808,0.724,0.582,0.577,0.692,0.487,0.752,0.099,0.114,0.128,0.08,0.085,0.108,0.117,0.103,0.122,0.115,props_ex_som_3_mean
rf,0.763,0.619,0.518,0.76,0.574,0.845,0.775,0.732,0.411,0.596,0.126,0.135,0.119,0.092,0.105,0.077,0.09,0.1,0.105,0.1,props_ex_som_4_mean
rf,0.802,0.388,0.661,0.635,0.696,0.772,0.662,0.799,0.618,0.58,0.082,0.121,0.105,0.13,0.112,0.108,0.106,0.094,0.106,0.12,props_ex_som_5_mean
rf,0.69,0.728,0.742,0.724,0.723,0.577,0.747,0.537,0.63,0.795,0.096,0.093,0.096,0.116,0.104,0.108,0.099,0.151,0.096,0.093,all_ex_som_1_row
rf,0.678,0.668,0.587,0.747,0.595,0.798,0.698,0.807,0.804,0.767,0.105,0.115,0.099,0.095,0.117,0.092,0.094,0.085,0.088,0.108,all_ex_som_2_row
rf,0.718,0.712,0.834,0.828,0.837,0.705,0.68,0.592,0.726,0.745,0.096,0.104,0.073,0.093,0.084,0.102,0.101,0.108,0.109,0.095,all_ex_som_3_row
rf,0.821,0.652,0.762,0.73,0.758,0.717,0.748,0.621,0.813,0.789,0.091,0.103,0.102,0.101,0.096,0.087,0.106,0.098,0.089,0.086,all_ex_som_4_row
rf,0.74,0.814,0.786,0.793,0.75,0.682,0.759,0.734,0.692,0.808,0.094,0.086,0.097,0.086,0.101,0.092,0.1,0.095,0.106,0.087,all_ex_som_5_row
rf,0.742,0.772,0.809,0.789,0.755,0.577,0.431,0.71,0.558,0.654,0.104,0.101,0.087,0.099,0.097,0.119,0.109,0.094,0.106,0.11,all_ex_som_1_col
rf,0.593,0.787,0.764,0.628,0.868,0.749,0.759,0.586,0.487,0.599,0.12,0.105,0.083,0.116,0.087,0.097,0.093,0.105,0.128,0.103,all_ex_som_2_col
rf,0.643,0.591,0.605,0.87,0.733,0.56,0.879,0.418,0.621,0.763,0.103,0.118,0.115,0.091,0.092,0.123,0.075,0.107,0.107,0.096,all_ex_som_3_col
rf,0.401,0.59,0.739,0.636,0.845,0.729,0.604,0.811,0.763,0.784,0.109,0.121,0.092,0.112,0.09,0.13,0.117,0.066,0.085,0.092,all_ex_som_4_col
rf,0.643,0.632,0.768,0.523,0.799,0.809,0.673,0.623,0.8,0.7,0.103,0.099,0.112,0.103,0.091,0.102,0.126,0.118,0.07,0.092,all_ex_som_5_col
rf,0.747,0.63,0.637,0.592,0.686,0.66,0.794,0.693,0.706,0.791,0.107,0.099,0.101,0.122,0.104,0.104,0.103,0.101,0.098,0.1,all_ex_som_1_mean
rf,0.384,0.816,0.52,0.814,0.666,0.685,0.723,0.858,0.611,0.559,0.099,0.086,0.115,0.093,0.117,0.134,0.11,0.079,0.109,0.095,all_ex_som_2_mean
rf,0.729,0.8,0.513,0.838,0.794,0.29,0.667,0.697,0.547,0.797,0.093,0.1,0.112,0.092,0.091,0.118,0.099,0.109,0.13,0.094,all_ex_som_3_mean
rf,0.67,0.754,0.601,0.657,0.76,0.724,0.482,0.716,0.622,0.812,0.106,0.121,0.128,0.107,0.092,0.095,0.11,0.092,0.093,0.103,all_ex_som_4_mean
rf,0.598,0.628,0.8,0.813,0.48,0.727,0.609,0.696,0.76,0.644,0.105,0.114,0.084,0.085,0.092,0.093,0.116,0.116,0.124,0.11,all_ex_som_5_mean
svr,0.091,0.589,0.274,0.364,0.606,0.253,0.445,0.479,0.684,0.598,0.174,0.127,0.165,0.126,0.125,0.154,0.155,0.114,0.112,0.134,bands_1_row
svr,0.467,0.433,0.276,0.587,0.596,0.393,0.324,0.574,0.337,0.397,0.129,0.153,0.142,0.144,0.138,0.158,0.128,0.138,0.133,0.141,bands_2_row
svr,0.394,0.366,0.494,0.277,0.367,0.384,0.524,0.651,0.627,0.296,0.143,0.158,0.135,0.132,0.138,0.155,0.158,0.118,0.126,0.152,bands_3_row
svr,0.494,0.476,0.412,0.485,0.413,0.073,0.429,0.39,0.242,0.429,0.157,0.134,0.125,0.143,0.156,0.146,0.157,0.153,0.16,0.154,bands_4_row
svr,0.311,0.302,0.437,0.49,0.347,0.261,0.43,0.377,0.331,0.45,0.166,0.152,0.146,0.15,0.158,0.15,0.149,0.157,0.158,0.135,bands_5_row
svr,0.423,0.357,0.284,0.655,0.567,0.651,0.56,0.447,0.615,0.0,0.165,0.139,0.144,0.12,0.116,0.136,0.142,0.14,0.111,0.174,bands_1_col
svr,0.12,0.83,0.765,0.621,0.62,0.633,0.562,0.718,0.487,0.555,0.134,0.085,0.1,0.105,0.148,0.117,0.135,0.11,0.104,0.1,bands_2_col
svr,0.677,0.615,0.819,0.101,0.722,0.613,0.621,0.628,0.651,0.614,0.157,0.119,0.075,0.11,0.099,0.125,0.104,0.119,0.121,0.094,bands_3_col
svr,0.697,0.701,0.726,0.619,0.321,0.71,0.527,0.75,0.694,0.758,0.109,0.086,0.121,0.121,0.116,0.097,0.12,0.103,0.118,0.098,bands_4_col
svr,0.685,0.624,0.744,0.381,0.737,0.686,0.57,0.766,0.761,0.56,0.099,0.135,0.107,0.146,0.09,0.114,0.105,0.074,0.087,0.139,bands_5_col
svr,0.0,0.403,0.545,0.553,0.28,0.29,0.582,0.314,0.599,0.517,0.162,0.146,0.12,0.139,0.144,0.152,0.137,0.146,0.145,0.151,bands_1_mean
svr,0.495,0.537,0.675,0.751,0.621,0.471,0.544,0.517,0.578,0.507,0.141,0.126,0.108,0.1,0.125,0.119,0.137,0.128,0.127,0.138,bands_2_mean
svr,0.577,0.0,0.19,0.503,0.464,0.631,0.679,0.683,0.373,0.771,0.11,0.12,0.147,0.138,0.131,0.132,0.128,0.121,0.126,0.108,bands_3_mean
svr,0.47,0.764,0.527,0.538,0.529,0.298,0.463,0.661,0.553,0.388,0.122,0.098,0.12,0.13,0.11,0.112,0.136,0.114,0.169,0.182,bands_4_mean
svr,0.26,0.304,0.541,0.718,0.403,0.391,0.408,0.593,0.487,0.808,0.145,0.119,0.117,0.124,0.126,0.148,0.15,0.134,0.14,0.102,bands_5_mean
svr,0.791,0.564,0.808,0.869,0.692,0.706,0.758,0.64,0.664,0.483,0.091,0.094,0.1,0.079,0.121,0.107,0.085,0.092,0.111,0.126,props_ex_som_1_row
svr,0.777,0.79,0.735,0.748,0.718,0.602,0.771,0.787,0.766,0.741,0.099,0.098,0.097,0.091,0.107,0.107,0.094,0.1,0.091,0.075,props_ex_som_2_row
svr,0.811,0.774,0.694,0.738,0.837,0.778,0.672,0.798,0.7,0.786,0.079,0.092,0.108,0.095,0.085,0.101,0.096,0.089,0.097,0.091,props_ex_som_3_row
svr,0.774,0.793,0.648,0.815,0.743,0.817,0.728,0.805,0.72,0.814,0.088,0.094,0.102,0.081,0.098,0.091,0.089,0.089,0.099,0.088,props_ex_som_4_row
svr,0.809,0.777,0.811,0.818,0.72,0.825,0.754,0.769,0.709,0.741,0.085,0.096,0.087,0.087,0.093,0.085,0.091,0.093,0.095,0.097,props_ex_som_5_row
svr,0.632,0.685,0.734,0.661,0.718,0.742,0.602,0.793,0.805,0.68,0.094,0.104,0.114,0.105,0.092,0.1,0.111,0.085,0.103,0.097,props_ex_som_1_col
svr,0.733,0.478,0.697,0.636,0.229,0.791,0.841,0.792,0.78,0.753,0.096,0.109,0.11,0.085,0.124,0.096,0.085,0.088,0.114,0.094,props_ex_som_2_col
svr,0.686,0.799,0.793,0.728,0.692,0.711,0.647,0.197,0.748,0.661,0.079,0.107,0.099,0.115,0.086,0.112,0.096,0.1,0.113,0.096,props_ex_som_3_col
svr,0.714,0.736,0.834,0.733,0.657,0.543,0.669,0.716,0.727,0.815,0.087,0.099,0.089,0.101,0.111,0.122,0.112,0.118,0.093,0.078,props_ex_som_4_col
svr,0.809,0.558,0.737,0.548,0.647,0.716,0.746,0.669,0.855,0.641,0.098,0.109,0.097,0.112,0.128,0.107,0.074,0.1,0.091,0.089,props_ex_som_5_col
svr,0.75,0.849,0.74,0.301,0.774,0.726,0.759,0.772,0.507,0.728,0.089,0.084,0.086,0.132,0.091,0.111,0.101,0.102,0.122,0.095,props_ex_som_1_mean
svr,0.738,0.789,0.651,0.77,0.746,0.643,0.634,0.571,0.771,0.493,0.117,0.113,0.115,0.09,0.089,0.084,0.119,0.1,0.099,0.104,props_ex_som_2_mean
svr,0.693,0.863,0.572,0.655,0.807,0.791,0.716,0.703,0.687,0.636,0.113,0.086,0.1,0.091,0.09,0.108,0.078,0.099,0.109,0.113,props_ex_som_3_mean
svr,0.541,0.884,0.787,0.533,0.673,0.687,0.678,0.664,0.603,0.79,0.086,0.09,0.088,0.13,0.097,0.119,0.098,0.112,0.087,0.09,props_ex_som_4_mean
svr,0.53,0.692,0.64,0.597,0.681,0.761,0.849,0.61,0.805,0.762,0.125,0.1,0.12,0.104,0.097,0.087,0.085,0.105,0.093,0.11,props_ex_som_5_mean
svr,0.718,0.72,0.667,0.628,0.852,0.784,0.76,0.707,0.87,0.718,0.089,0.113,0.089,0.104,0.082,0.093,0.117,0.101,0.067,0.09,all_ex_som_1_row
svr,0.711,0.707,0.743,0.816,0.823,0.784,0.776,0.794,0.699,0.637,0.096,0.092,0.095,0.09,0.095,0.091,0.094,0.099,0.076,0.107,all_ex_som_2_row
svr,0.623,0.792,0.807,0.747,0.786,0.587,0.629,0.798,0.767,0.794,0.11,0.091,0.092,0.095,0.092,0.098,0.106,0.098,0.093,0.092,all_ex_som_3_row
svr,0.723,0.784,0.777,0.748,0.748,0.752,0.83,0.748,0.753,0.769,0.103,0.099,0.079,0.097,0.096,0.099,0.087,0.094,0.09,0.09,all_ex_som_4_row
svr,0.756,0.741,0.779,0.792,0.815,0.741,0.708,0.701,0.752,0.797,0.099,0.104,0.096,0.102,0.09,0.08,0.089,0.097,0.088,0.089,all_ex_som_5_row
svr,0.356,0.752,0.762,0.73,0.754,0.683,0.725,0.839,0.674,0.692,0.162,0.103,0.076,0.097,0.102,0.104,0.106,0.073,0.103,0.101,all_ex_som_1_col
svr,0.819,0.635,0.753,0.72,0.847,0.802,0.766,0.851,0.606,0.656,0.086,0.105,0.087,0.105,0.075,0.101,0.1,0.072,0.108,0.113,all_ex_som_2_col
svr,0.738,0.648,0.803,0.738,0.742,0.634,0.738,0.829,0.796,0.515,0.079,0.112,0.114,0.117,0.101,0.111,0.1,0.056,0.084,0.082,all_ex_som_3_col
svr,0.55,0.794,0.83,0.682,0.725,0.77,0.76,0.775,0.696,0.738,0.093,0.104,0.088,0.093,0.109,0.117,0.08,0.083,0.095,0.088,all_ex_som_4_col
svr,0.821,0.691,0.747,0.827,0.761,0.749,0.817,0.783,0.57,0.722,0.092,0.099,0.114,0.08,0.11,0.082,0.09,0.079,0.102,0.085,all_ex_som_5_col
svr,0.874,0.398,0.748,0.723,0.854,0.773,0.492,0.777,0.586,0.759,0.088,0.115,0.094,0.115,0.074,0.098,0.101,0.09,0.093,0.093,all_ex_som_1_mean
svr,0.727,0.328,0.772,0.793,0.766,0.594,0.776,0.862,0.769,0.851,0.102,0.108,0.098,0.067,0.11,0.105,0.074,0.082,0.096,0.09,all_ex_som_2_mean
svr,0.759,0.71,0.799,0.846,0.653,0.618,0.792,0.755,0.81,0.8,0.076,0.085,0.071,0.089,0.126,0.14,0.08,0.097,0.089,0.075,all_ex_som_3_mean
svr,0.713,0.812,0.68,0.559,0.829,0.686,0.849,0.508,0.847,0.881,0.085,0.077,0.089,0.11,0.093,0.128,0.098,0.097,0.082,0.06,all_ex_som_4_mean
svr,0.642,0.817,0.791,0.814,0.704,0.754,0.63,0.786,0.739,0.827,0.1,0.073,0.082,0.086,0.089,0.115,0.108,0.072,0.088,0.106,all_ex_som_5_mean
ann,0.208,0.455,0.0,0.0,0.321,0.64,0.373,0.455,0.469,0.173,0.143,0.125,0.17,0.214,0.151,0.122,0.163,0.144,0.18,0.15,bands_1_row
ann,0.297,0.549,0.544,0.517,0.146,0.546,0.402,0.384,0.342,0.467,0.133,0.139,0.152,0.107,0.157,0.141,0.15,0.161,0.137,0.142,bands_2_row
ann,0.272,0.417,0.456,0.442,0.389,0.369,0.379,0.096,0.467,0.568,0.164,0.132,0.133,0.149,0.154,0.147,0.165,0.143,0.152,0.135,bands_3_row
ann,0.491,0.466,0.353,0.311,0.388,0.148,0.34,0.289,0.509,0.434,0.139,0.154,0.163,0.156,0.153,0.169,0.157,0.154,0.136,0.137,bands_4_row
ann,0.338,0.389,0.269,0.347,0.347,0.285,0.384,0.326,0.376,0.325,0.154,0.144,0.16,0.162,0.153,0.159,0.143,0.185,0.153,0.154,bands_5_row
ann,0.297,0.495,0.527,0.0,0.464,0.005,0.298,0.554,0.61,0.228,0.143,0.16,0.152,0.193,0.142,0.209,0.147,0.127,0.103,0.15,bands_1_col
ann,0.502,0.573,0.514,0.443,0.682,0.481,0.805,0.533,0.491,0.716,0.127,0.12,0.104,0.118,0.125,0.139,0.099,0.114,0.147,0.11,bands_2_col
