algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann,0.426,0.497,0.44,0.564,0.599,0.399,0.837,0.14,0.483,0.691,0.151,0.13,0.128,0.153,0.132,0.153,0.084,0.139,0.089,0.115,bands_3_col
ann,0.559,0.641,0.608,0.334,0.554,0.728,0.532,0.408,0.724,0.12,0.11,0.11,0.152,0.146,0.136,0.108,0.104,0.145,0.113,0.137,bands_4_col
ann,0.578,0.632,0.467,0.648,0.555,0.609,0.553,0.717,0.683,0.551,0.131,0.114,0.139,0.115,0.134,0.109,0.117,0.113,0.105,0.125,bands_5_col
ann,0.37,0.124,0.018,0.099,0.379,0.709,0.196,0.439,0.512,0.466,0.133,0.18,0.238,0.133,0.182,0.106,0.141,0.146,0.144,0.114,bands_1_mean
ann,0.212,0.501,0.534,0.584,0.605,0.617,0.348,0.831,0.58,0.565,0.141,0.134,0.121,0.109,0.108,0.136,0.179,0.093,0.094,0.132,bands_2_mean
ann,0.36,0.61,0.453,0.485,0.548,0.564,0.474,0.35,0.668,0.0,0.173,0.119,0.134,0.132,0.129,0.126,0.134,0.137,0.126,0.205,bands_3_mean
ann,0.575,0.368,0.544,0.667,0.713,0.306,0.272,0.281,0.679,0.294,0.116,0.135,0.145,0.122,0.122,0.13,0.167,0.121,0.127,0.149,bands_4_mean
ann,0.384,0.543,0.0,0.538,0.398,0.756,0.638,0.588,0.0,0.519,0.149,0.12,0.194,0.144,0.111,0.131,0.119,0.13,0.137,0.136,bands_5_mean
ann,0.845,0.576,0.828,0.46,0.728,0.571,0.791,0.422,0.862,0.672,0.086,0.123,0.08,0.106,0.104,0.094,0.091,0.142,0.085,0.112,props_ex_som_1_row
ann,0.743,0.692,0.828,0.792,0.771,0.767,0.691,0.768,0.804,0.605,0.091,0.103,0.091,0.087,0.095,0.094,0.105,0.096,0.087,0.098,props_ex_som_2_row
ann,0.775,0.772,0.825,0.739,0.641,0.791,0.65,0.781,0.762,0.748,0.106,0.092,0.089,0.094,0.101,0.086,0.093,0.095,0.093,0.096,props_ex_som_3_row
ann,0.789,0.79,0.771,0.802,0.809,0.695,0.773,0.743,0.748,0.756,0.087,0.082,0.102,0.091,0.09,0.103,0.083,0.092,0.105,0.089,props_ex_som_4_row
ann,0.683,0.805,0.74,0.678,0.795,0.821,0.818,0.768,0.79,0.779,0.099,0.086,0.099,0.111,0.087,0.087,0.086,0.095,0.085,0.084,props_ex_som_5_row
ann,0.82,0.756,0.768,0.513,0.663,0.568,0.443,0.555,0.797,0.756,0.098,0.092,0.114,0.127,0.11,0.1,0.106,0.102,0.103,0.089,props_ex_som_1_col
ann,0.791,0.75,0.505,0.766,0.625,0.678,0.832,0.732,0.725,0.833,0.087,0.09,0.114,0.104,0.117,0.097,0.091,0.099,0.101,0.08,props_ex_som_2_col
ann,0.686,0.669,0.673,0.8,0.385,0.665,0.681,0.791,0.739,0.713,0.121,0.109,0.102,0.102,0.097,0.113,0.099,0.091,0.1,0.097,props_ex_som_3_col
ann,0.782,0.801,0.833,0.554,0.77,0.748,0.51,0.695,0.509,0.451,0.094,0.103,0.086,0.121,0.108,0.111,0.067,0.107,0.12,0.097,props_ex_som_4_col
ann,0.777,0.85,0.69,0.445,0.659,0.645,0.688,0.805,0.739,0.767,0.107,0.07,0.083,0.129,0.085,0.112,0.109,0.093,0.106,0.105,props_ex_som_5_col
ann,0.542,0.719,0.838,0.777,0.356,0.725,0.851,0.704,0.638,0.736,0.105,0.106,0.083,0.093,0.125,0.087,0.076,0.094,0.117,0.121,props_ex_som_1_mean
ann,0.732,0.748,0.748,0.569,0.545,0.774,0.65,0.684,0.504,0.835,0.12,0.113,0.104,0.098,0.117,0.085,0.092,0.093,0.123,0.093,props_ex_som_2_mean
ann,0.772,0.679,0.717,0.72,0.781,0.598,0.7,0.541,0.663,0.75,0.108,0.102,0.089,0.068,0.102,0.114,0.107,0.095,0.103,0.12,props_ex_som_3_mean
ann,0.72,0.583,0.728,0.76,0.679,0.495,0.659,0.752,0.764,0.743,0.112,0.094,0.104,0.094,0.09,0.112,0.099,0.113,0.091,0.111,props_ex_som_4_mean
ann,0.699,0.535,0.665,0.55,0.704,0.736,0.713,0.6,0.803,0.81,0.097,0.108,0.101,0.115,0.101,0.109,0.09,0.104,0.106,0.106,props_ex_som_5_mean
ann,0.632,0.655,0.533,0.824,0.757,0.74,0.835,0.838,0.76,0.821,0.117,0.106,0.1,0.103,0.077,0.103,0.066,0.077,0.095,0.091,all_ex_som_1_row
ann,0.76,0.798,0.747,0.783,0.801,0.665,0.789,0.669,0.533,0.848,0.103,0.085,0.095,0.089,0.104,0.095,0.094,0.097,0.111,0.076,all_ex_som_2_row
ann,0.776,0.659,0.767,0.657,0.743,0.769,0.806,0.779,0.735,0.828,0.083,0.115,0.098,0.094,0.103,0.092,0.09,0.083,0.099,0.088,all_ex_som_3_row
ann,0.783,0.755,0.668,0.757,0.76,0.709,0.638,0.836,0.836,0.76,0.089,0.095,0.105,0.087,0.098,0.097,0.089,0.086,0.091,0.102,all_ex_som_4_row
ann,0.671,0.777,0.744,0.748,0.727,0.748,0.777,0.741,0.825,0.759,0.093,0.094,0.089,0.104,0.097,0.102,0.096,0.094,0.09,0.088,all_ex_som_5_row
ann,0.817,0.557,0.75,0.785,0.588,0.488,0.746,0.848,0.81,0.72,0.08,0.107,0.105,0.082,0.102,0.138,0.073,0.09,0.084,0.129,all_ex_som_1_col
ann,0.698,0.85,0.18,0.699,0.791,0.68,0.704,0.786,0.827,0.679,0.091,0.092,0.119,0.101,0.108,0.115,0.099,0.094,0.075,0.101,all_ex_som_2_col
ann,0.645,0.762,0.778,0.576,0.633,0.287,0.819,0.524,0.697,0.837,0.12,0.104,0.091,0.091,0.113,0.11,0.093,0.101,0.114,0.095,all_ex_som_3_col
ann,0.773,0.442,0.835,0.702,0.852,0.683,0.46,0.796,0.721,0.699,0.099,0.119,0.088,0.089,0.089,0.107,0.09,0.092,0.107,0.101,all_ex_som_4_col
ann,0.752,0.732,0.606,0.3,0.696,0.843,0.794,0.721,0.78,0.789,0.101,0.104,0.095,0.125,0.092,0.097,0.098,0.081,0.096,0.092,all_ex_som_5_col
ann,0.774,0.73,0.662,0.797,0.847,0.707,0.748,0.69,0.531,0.849,0.083,0.095,0.11,0.088,0.089,0.107,0.117,0.099,0.1,0.066,all_ex_som_1_mean
ann,0.764,0.754,0.768,0.795,0.801,0.898,0.662,0.783,0.62,0.795,0.089,0.082,0.097,0.084,0.08,0.073,0.095,0.079,0.096,0.111,all_ex_som_2_mean
ann,0.849,0.468,0.805,0.716,0.809,0.617,0.803,0.81,0.726,0.839,0.071,0.097,0.079,0.122,0.083,0.116,0.08,0.1,0.1,0.075,all_ex_som_3_mean
ann,0.815,0.79,0.668,0.831,0.743,0.902,0.664,0.651,0.806,0.773,0.087,0.075,0.128,0.064,0.106,0.076,0.082,0.103,0.089,0.077,all_ex_som_4_mean
ann,0.774,0.775,0.883,0.62,0.842,0.739,0.826,0.681,0.781,0.546,0.09,0.086,0.089,0.088,0.079,0.098,0.085,0.092,0.089,0.104,all_ex_som_5_mean
