lon,lat,elevation,when,som,moisture,temp
142.135355,-36.74293455,416.01,1-Apr-22,2.2,35.75,83.05
142.1308715,-36.73444333,437.99,1-Apr-22,2.445,42.3,62.35
142.1225994,-36.73763674,436.35,1-Apr-22,2.505,35.65,70.68
142.1276042,-36.74768054,423.23,1-Apr-22,2.91,31.13,70.85
142.1348106,-36.74234796,416.01,1-Apr-22,2.425,32.7,64.38
142.1348095,-36.74236078,416.01,1-Apr-22,2.43,30.95,64.0
142.13481,-36.7423742,416.01,1-Apr-22,2.37,34.15,64.68
142.134807,-36.74238929,416.01,1-Apr-22,2.355,36.1,64.0
142.1348079,-36.7424042,415.68,1-Apr-22,2.33,33.92,63.45
142.1348146,-36.74241704,416.01,1-Apr-22,2.27,33.9,62.98
142.1348186,-36.74243226,416.01,1-Apr-22,2.225,36.48,62.38
142.1348275,-36.74244811,416.01,1-Apr-22,2.29,36.45,62.18
142.1348376,-36.74246359,416.01,1-Apr-22,2.375,34.42,61.85
142.1348524,-36.74247529,416.01,1-Apr-22,2.41,35.42,61.15
142.1348825,-36.74247615,416.01,1-Apr-22,2.4,35.1,61.03
142.1349082,-36.74248229,416.01,1-Apr-22,2.43,34.0,60.88
142.134927,-36.74249357,416.01,1-Apr-22,2.435,34.45,61.45
142.1349466,-36.74250504,416.01,1-Apr-22,2.345,33.65,61.93
142.1349673,-36.74251741,416.01,1-Apr-22,2.24,34.0,62.58
142.134976,-36.74253352,416.01,1-Apr-22,2.2,32.27,62.9
142.1349837,-36.74254965,416.01,1-Apr-22,2.23,34.77,62.88
142.1349913,-36.74256602,416.01,1-Apr-22,2.225,34.77,62.85
142.1349982,-36.74258243,416.34,1-Apr-22,2.295,36.98,63.08
142.1350156,-36.74259734,416.34,1-Apr-22,2.29,36.35,64.15
142.1350329,-36.74261374,416.34,1-Apr-22,2.175,34.23,64.35
142.135042,-36.74263143,416.01,1-Apr-22,2.105,34.33,64.7
142.1350451,-36.7426489,416.34,1-Apr-22,2.09,33.42,64.8
142.1350406,-36.7426661,416.34,1-Apr-22,2.1,32.0,65.23
142.1350387,-36.7426832,416.34,1-Apr-22,2.08,32.58,65.23
142.1350349,-36.74270033,416.34,1-Apr-22,2.14,33.4,65.13
142.134867,-36.74323725,416.01,1-Apr-22,2.0,29.23,72.45
142.1348614,-36.74325415,416.01,1-Apr-22,1.915,29.32,71.83
142.134856,-36.74327095,416.01,1-Apr-22,1.865,28.48,73.3
142.1348504,-36.74328775,416.01,1-Apr-22,1.86,30.75,72.13
142.1348428,-36.74330402,416.01,1-Apr-22,1.885,31.75,72.38
142.1348356,-36.74332053,416.01,1-Apr-22,1.93,33.27,72.63
142.1348265,-36.74333666,416.01,1-Apr-22,1.915,33.13,72.73
142.1348224,-36.74335386,416.01,1-Apr-22,1.92,31.7,73.35
142.1348182,-36.74337086,416.01,1-Apr-22,1.935,29.5,72.5
142.1348164,-36.74338828,416.01,1-Apr-22,1.95,30.2,72.35
142.1348117,-36.74340518,416.01,1-Apr-22,2.005,28.45,72.25
142.1348114,-36.74342292,416.01,1-Apr-22,2.12,27.77,71.78
142.1348103,-36.74344062,416.01,1-Apr-22,2.19,26.7,71.93
142.1348066,-36.74345781,416.01,1-Apr-22,2.12,29.28,71.95
142.1347998,-36.74347421,416.01,1-Apr-22,2.065,30.52,72.05
142.1348017,-36.74349316,416.01,1-Apr-22,1.98,30.08,70.93
142.134794,-36.74350936,416.01,1-Apr-22,1.94,30.8,71.83
142.134782,-36.74352432,416.01,1-Apr-22,2.0,29.5,71.8
142.1347791,-36.74354196,416.01,1-Apr-22,2.055,30.05,71.4
142.1347731,-36.74355873,416.01,1-Apr-22,2.05,32.98,71.85
142.1347672,-36.74357554,416.01,1-Apr-22,2.045,34.75,72.05
142.1347588,-36.74359154,416.01,1-Apr-22,2.065,33.0,72.6
142.1347501,-36.74360754,416.01,1-Apr-22,1.995,32.9,72.73
142.1347438,-36.74362428,416.01,1-Apr-22,1.905,34.0,72.43
142.1347347,-36.74364008,416.01,1-Apr-22,1.885,34.2,72.6
142.1347335,-36.74365877,415.68,1-Apr-22,1.89,33.38,72.95
142.1347325,-36.74367812,416.01,1-Apr-22,1.9,32.48,72.63
142.1347309,-36.74369845,416.01,1-Apr-22,1.9,32.35,72.83
142.13473,-36.74372124,416.01,1-Apr-22,1.91,32.7,72.73
142.1347238,-36.74374232,416.01,1-Apr-22,1.94,31.88,72.65
142.1347105,-36.74375713,416.01,1-Apr-22,1.98,33.6,72.7
142.1346922,-36.74376643,416.01,1-Apr-22,1.97,34.33,72.45
