algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.568,0.663,0.819,0.786,0.763,0.777,0.371,0.778,0.782,0.576,0.097,0.111,0.084,0.087,0.099,0.102,0.118,0.107,0.094,0.112,all_ex_som_1_col
siamese,0.634,0.827,0.768,0.475,0.845,0.691,0.823,0.827,0.778,0.882,0.094,0.087,0.083,0.106,0.082,0.1,0.076,0.101,0.098,0.07,all_ex_som_2_col
siamese,0.529,0.478,0.683,0.605,0.684,0.792,0.819,0.655,0.68,0.712,0.086,0.128,0.114,0.127,0.126,0.105,0.072,0.102,0.104,0.098,all_ex_som_3_col
siamese,0.657,0.627,0.893,0.841,0.772,0.683,0.544,0.578,0.722,0.72,0.093,0.109,0.069,0.077,0.11,0.111,0.111,0.127,0.084,0.114,all_ex_som_4_col
siamese,0.569,0.852,0.798,0.656,0.635,0.723,0.767,0.708,0.75,0.757,0.132,0.081,0.113,0.081,0.105,0.103,0.083,0.099,0.093,0.08,all_ex_som_5_col
