algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.777,0.477,0.701,0.899,0.679,0.636,0.8,0.585,0.759,0.756,0.091,0.133,0.089,0.069,0.084,0.118,0.083,0.11,0.094,0.116,all_ex_som_1_col
siamese,0.803,0.717,0.59,0.827,0.877,0.8,0.625,0.874,0.593,0.659,0.076,0.1,0.106,0.085,0.065,0.098,0.093,0.07,0.133,0.122,all_ex_som_2_col
siamese,0.786,0.375,0.795,0.839,0.816,0.772,0.731,0.37,0.526,0.751,0.086,0.14,0.072,0.094,0.073,0.107,0.117,0.124,0.109,0.085,all_ex_som_3_col
siamese,0.852,0.075,0.824,0.738,0.808,0.838,0.706,0.678,0.0,0.635,0.072,0.134,0.103,0.107,0.082,0.069,0.096,0.101,0.18,0.123,all_ex_som_4_col
siamese,0.839,0.579,0.76,0.792,0.649,0.698,0.747,0.392,0.631,0.714,0.095,0.106,0.081,0.097,0.11,0.1,0.123,0.114,0.115,0.087,all_ex_som_5_col
