config,R2(mlr),R2(rf),R2(svr),R2(ann),RMSE(mlr),RMSE(rf),RMSE(svr),RMSE(ann),input,output
bands_1,0.387,0.478,0.416,0.349,0.145,0.137,0.141,0.177,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2,0.408,0.383,0.474,0.395,0.146,0.153,0.138,0.147,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3,0.388,0.336,0.439,0.398,0.149,0.156,0.142,0.145,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4,0.347,0.27,0.397,0.367,0.154,0.163,0.149,0.151,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5,0.288,0.265,0.373,0.345,0.162,0.164,0.152,0.155,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_1,0.428,0.476,0.404,0.411,0.146,0.142,0.143,0.158,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2,0.53,0.508,0.577,0.473,0.126,0.129,0.115,0.136,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3,0.484,0.503,0.609,0.518,0.13,0.131,0.114,0.128,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4,0.516,0.523,0.644,0.563,0.13,0.128,0.111,0.119,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5,0.532,0.504,0.671,0.593,0.123,0.13,0.106,0.114,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_1,0.372,0.442,0.435,0.489,0.147,0.141,0.139,0.151,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_2,0.504,0.534,0.532,0.516,0.127,0.132,0.125,0.127,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_3,0.539,0.483,0.483,0.51,0.135,0.134,0.124,0.129,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_4,0.456,0.512,0.542,0.494,0.137,0.128,0.122,0.127,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
bands_5,0.407,0.514,0.484,0.469,0.141,0.128,0.131,0.143,B01-B02-B03-B04-B05-B06-B07-B08-B8A-B09-B11-B12,som
