algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
svr,0.436,0.407,0.317,0.441,0.445,0.339,0.32,0.325,0.306,0.391,0.148,0.147,0.155,0.163,0.148,0.14,0.155,0.156,0.163,0.145,bands_5
svr,0.5,0.477,0.453,0.006,0.262,0.483,0.228,0.592,0.588,0.446,0.155,0.136,0.138,0.143,0.171,0.112,0.157,0.144,0.137,0.138,bands_1
svr,0.592,0.625,0.71,0.537,0.635,0.733,0.28,0.66,0.753,0.248,0.119,0.1,0.117,0.109,0.156,0.11,0.116,0.108,0.097,0.123,bands_2
svr,0.376,0.682,0.626,0.523,0.592,0.643,0.563,0.822,0.734,0.534,0.095,0.113,0.099,0.119,0.103,0.129,0.136,0.093,0.109,0.148,bands_3
svr,0.675,0.773,0.604,0.749,0.5,0.424,0.732,0.736,0.689,0.556,0.111,0.085,0.119,0.088,0.135,0.117,0.124,0.106,0.104,0.118,bands_4
svr,0.707,0.661,0.803,0.724,0.396,0.715,0.625,0.679,0.685,0.716,0.113,0.126,0.085,0.127,0.117,0.097,0.111,0.08,0.109,0.095,bands_5
svr,0.406,0.521,0.033,0.478,0.668,0.384,0.634,0.706,0.325,0.192,0.126,0.141,0.152,0.151,0.123,0.157,0.128,0.102,0.141,0.164,bands_1
svr,0.586,0.623,0.566,0.548,0.085,0.595,0.708,0.502,0.643,0.462,0.137,0.122,0.147,0.144,0.133,0.109,0.094,0.137,0.095,0.133,bands_2
svr,0.31,0.348,0.593,0.316,0.726,0.535,0.212,0.359,0.764,0.668,0.131,0.101,0.137,0.141,0.115,0.119,0.129,0.115,0.108,0.149,bands_3
svr,0.561,0.672,0.554,0.405,0.599,0.552,0.783,0.517,0.079,0.695,0.131,0.129,0.14,0.152,0.095,0.107,0.113,0.13,0.126,0.1,bands_4
svr,0.456,0.632,0.523,0.554,0.764,0.43,0.427,0.455,0.261,0.34,0.184,0.116,0.097,0.124,0.109,0.131,0.107,0.139,0.156,0.15,bands_5
ann,0.416,0.082,0.108,0.0,0.0,0.0,0.304,0.503,0.453,0.579,0.153,0.124,0.184,0.246,0.265,0.225,0.156,0.136,0.159,0.12,bands_1
ann,0.29,0.298,0.493,0.176,0.19,0.469,0.477,0.669,0.265,0.624,0.134,0.14,0.146,0.166,0.165,0.143,0.155,0.117,0.182,0.119,bands_2
ann,0.475,0.446,0.494,0.501,0.306,0.168,0.455,0.615,0.447,0.072,0.145,0.167,0.145,0.143,0.125,0.149,0.152,0.131,0.143,0.153,bands_3
ann,0.213,0.291,0.385,0.334,0.501,0.412,0.434,0.427,0.329,0.341,0.16,0.15,0.136,0.139,0.143,0.148,0.164,0.163,0.149,0.161,bands_4
ann,0.345,0.332,0.423,0.377,0.102,0.353,0.406,0.349,0.38,0.382,0.173,0.17,0.145,0.148,0.166,0.146,0.134,0.15,0.153,0.165,bands_5
ann,0.054,0.507,0.473,0.466,0.0,0.613,0.225,0.311,0.0,0.635,0.233,0.142,0.11,0.126,0.185,0.126,0.153,0.202,0.195,0.11,bands_1
ann,0.285,0.519,0.109,0.539,0.473,0.559,0.391,0.0,0.55,0.832,0.144,0.129,0.154,0.099,0.109,0.118,0.177,0.201,0.136,0.092,bands_2
ann,0.302,0.617,0.582,0.589,0.54,0.536,0.373,0.477,0.608,0.557,0.12,0.134,0.145,0.15,0.132,0.102,0.141,0.111,0.122,0.119,bands_3
ann,0.548,0.713,0.777,0.736,0.326,0.101,0.694,0.319,0.706,0.715,0.13,0.104,0.099,0.104,0.13,0.145,0.122,0.132,0.109,0.111,bands_4
ann,0.493,0.577,0.747,0.7,0.563,0.402,0.629,0.365,0.642,0.808,0.132,0.087,0.117,0.119,0.12,0.127,0.099,0.119,0.121,0.103,bands_5
ann,0.428,0.379,0.57,0.0,0.123,0.665,0.0,0.701,0.652,0.392,0.138,0.155,0.136,0.179,0.182,0.095,0.257,0.109,0.14,0.118,bands_1
ann,0.803,0.542,0.688,0.03,0.559,0.708,0.357,0.611,0.457,0.407,0.095,0.13,0.107,0.161,0.117,0.111,0.154,0.101,0.14,0.158,bands_2
ann,0.731,0.437,0.769,0.589,0.21,0.183,0.392,0.619,0.564,0.606,0.093,0.143,0.092,0.114,0.112,0.171,0.155,0.138,0.142,0.131,bands_3
ann,0.205,0.197,0.648,0.692,0.654,0.345,0.801,0.578,0.536,0.283,0.145,0.14,0.105,0.132,0.136,0.133,0.076,0.109,0.168,0.121,bands_4
ann,0.355,0.63,0.601,0.0,0.472,0.49,0.617,0.478,0.242,0.334,0.156,0.14,0.145,0.167,0.124,0.124,0.12,0.132,0.179,0.148,bands_5
