algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.684,0.703,0.739,0.783,0.797,0.673,0.705,0.855,0.739,0.44,0.106,0.084,0.102,0.095,0.092,0.095,0.121,0.082,0.093,0.104,all_ex_som_1_col
siamese,0.824,0.716,0.731,0.879,0.611,0.69,0.188,0.676,0.886,0.691,0.086,0.103,0.103,0.083,0.09,0.095,0.119,0.124,0.061,0.119,all_ex_som_2_col
siamese,0.835,0.867,0.692,0.633,0.81,0.707,0.543,0.572,0.835,0.589,0.089,0.081,0.094,0.112,0.087,0.094,0.125,0.078,0.091,0.103,all_ex_som_3_col
siamese,0.9,0.717,0.686,0.431,0.81,0.868,0.458,0.799,0.813,0.446,0.067,0.088,0.098,0.109,0.09,0.1,0.102,0.089,0.086,0.116,all_ex_som_4_col
siamese,0.841,0.822,0.398,0.792,0.748,0.828,0.851,0.546,0.701,0.745,0.079,0.081,0.141,0.088,0.094,0.074,0.08,0.117,0.108,0.103,all_ex_som_5_col
