algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.851,0.514,0.691,0.839,0.676,0.773,0.61,0.594,0.761,0.859,0.076,0.096,0.108,0.083,0.114,0.092,0.105,0.124,0.099,0.07,all_ex_som_1_col
siamese,0.807,0.639,0.808,0.768,0.846,0.401,0.51,0.642,0.714,0.661,0.08,0.11,0.105,0.107,0.073,0.129,0.112,0.12,0.088,0.1,all_ex_som_2_col
siamese,0.843,0.46,0.786,0.83,0.526,0.69,0.573,0.548,0.653,0.815,0.088,0.12,0.108,0.066,0.131,0.1,0.106,0.125,0.11,0.09,all_ex_som_3_col
siamese,0.112,0.826,0.709,0.77,0.872,0.0,0.766,0.835,0.688,0.66,0.185,0.076,0.102,0.087,0.089,0.973,0.072,0.076,0.112,0.107,all_ex_som_4_col
siamese,0.757,0.454,0.51,0.501,0.793,0.659,0.78,0.889,0.872,0.712,0.09,0.136,0.135,0.115,0.092,0.088,0.087,0.063,0.086,0.108,all_ex_som_5_col
