algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
siamese,0.498,0.79,0.879,0.776,0.797,0.758,0.689,0.47,0.801,0.59,0.118,0.087,0.072,0.123,0.092,0.084,0.071,0.113,0.104,0.087,all_ex_som_2_col
siamese,0.79,0.745,0.875,0.42,0.475,0.632,0.714,0.755,0.777,0.735,0.1,0.111,0.082,0.109,0.127,0.104,0.109,0.09,0.088,0.083,all_ex_som_3_col
siamese,0.766,0.773,0.773,0.779,0.716,0.559,0.763,0.793,0.633,0.596,0.098,0.083,0.103,0.108,0.09,0.149,0.087,0.09,0.073,0.085,all_ex_som_4_col
siamese,0.794,0.786,0.865,0.772,0.833,0.668,0.476,0.846,0.68,0.753,0.095,0.091,0.064,0.104,0.083,0.108,0.097,0.074,0.109,0.1,all_ex_som_5_col
