algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
ann,0.63,0.641,0.119,0.114,all_ex_som_1
ann,0.765,0.628,0.094,0.117,all_ex_som_2
ann,0.65,0.742,0.115,0.097,all_ex_som_3
ann,0.62,0.602,0.118,0.123,all_ex_som_4
ann,0.603,0.582,0.12,0.126,all_ex_som_5
