algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
ann,0.768,0.731,0.508,0.695,0.668,0.542,0.784,0.896,0.586,0.821,0.095,0.086,0.109,0.145,0.101,0.094,0.1,0.072,0.09,0.084,all_ex_som_1
ann,0.766,0.77,0.551,0.788,0.849,0.791,0.735,0.68,0.772,0.739,0.101,0.1,0.102,0.086,0.078,0.104,0.101,0.096,0.095,0.085,all_ex_som_2
ann,0.735,0.638,0.75,0.824,0.817,0.782,0.751,0.765,0.717,0.811,0.106,0.1,0.099,0.079,0.082,0.09,0.103,0.094,0.09,0.091,all_ex_som_3
ann,0.77,0.65,0.765,0.741,0.756,0.793,0.794,0.748,0.758,0.752,0.097,0.101,0.087,0.104,0.088,0.093,0.105,0.098,0.088,0.088,all_ex_som_4
ann,0.783,0.727,0.754,0.804,0.748,0.799,0.78,0.753,0.634,0.761,0.089,0.103,0.101,0.09,0.104,0.093,0.08,0.096,0.098,0.091,all_ex_som_5
