algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
ann,0.669,0.567,0.116,0.122,all_ex_som_1
ann,0.66,0.645,0.112,0.116,all_ex_som_2
ann,0.596,0.654,0.122,0.115,all_ex_som_3
ann,0.616,0.593,0.119,0.124,all_ex_som_4
ann,0.588,0.622,0.123,0.12,all_ex_som_5
