algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.652,0.569,0.702,0.741,0.644,0.616,0.411,0.761,0.527,0.725,0.13,0.112,0.108,0.082,0.123,0.126,0.111,0.1,0.105,0.121,all_ex_som_1_row
mlr,0.677,0.775,0.653,0.778,0.578,0.601,0.633,0.362,0.387,0.602,0.129,0.095,0.128,0.098,0.109,0.124,0.102,0.117,0.123,0.128,all_ex_som_2_row
mlr,0.601,0.571,0.635,0.607,0.703,0.612,0.499,0.739,0.528,0.723,0.122,0.111,0.124,0.118,0.109,0.116,0.114,0.11,0.13,0.111,all_ex_som_3_row
mlr,0.697,0.65,0.548,0.537,0.674,0.681,0.517,0.625,0.589,0.44,0.114,0.114,0.128,0.128,0.138,0.109,0.119,0.108,0.113,0.13,all_ex_som_4_row
mlr,0.549,0.569,0.619,0.575,0.687,0.582,0.509,0.544,0.655,0.657,0.131,0.132,0.118,0.13,0.112,0.122,0.117,0.131,0.102,0.122,all_ex_som_5_row
rf,0.602,0.8,0.834,0.478,0.84,0.691,0.56,0.8,0.706,0.465,0.123,0.093,0.085,0.132,0.093,0.095,0.096,0.089,0.101,0.126,all_ex_som_1_row
rf,0.819,0.753,0.683,0.718,0.829,0.55,0.779,0.697,0.774,0.485,0.087,0.107,0.108,0.101,0.082,0.114,0.103,0.113,0.081,0.101,all_ex_som_2_row
rf,0.701,0.758,0.718,0.782,0.733,0.814,0.753,0.679,0.779,0.716,0.093,0.105,0.113,0.088,0.097,0.095,0.097,0.1,0.085,0.093,all_ex_som_3_row
rf,0.751,0.771,0.758,0.752,0.713,0.791,0.727,0.747,0.687,0.808,0.092,0.099,0.099,0.097,0.094,0.09,0.096,0.091,0.092,0.101,all_ex_som_4_row
rf,0.767,0.806,0.806,0.741,0.732,0.696,0.774,0.762,0.752,0.717,0.095,0.1,0.092,0.09,0.096,0.097,0.096,0.086,0.096,0.097,all_ex_som_5_row
svr,0.788,0.711,0.651,0.799,0.816,0.72,0.747,0.816,0.594,0.544,0.12,0.094,0.123,0.064,0.077,0.106,0.106,0.081,0.093,0.111,all_ex_som_1_row
svr,0.793,0.659,0.656,0.642,0.726,0.764,0.842,0.814,0.831,0.756,0.098,0.097,0.09,0.125,0.087,0.092,0.084,0.096,0.075,0.096,all_ex_som_2_row
svr,0.673,0.756,0.766,0.777,0.702,0.807,0.792,0.764,0.729,0.776,0.109,0.085,0.103,0.102,0.103,0.084,0.08,0.097,0.094,0.091,all_ex_som_3_row
svr,0.783,0.745,0.823,0.795,0.805,0.787,0.727,0.695,0.772,0.7,0.092,0.087,0.096,0.085,0.088,0.092,0.096,0.096,0.095,0.099,all_ex_som_4_row
svr,0.777,0.8,0.718,0.751,0.739,0.691,0.822,0.796,0.747,0.791,0.09,0.093,0.096,0.099,0.093,0.096,0.08,0.092,0.101,0.093,all_ex_som_5_row
ann,0.779,0.72,0.836,0.354,0.497,0.847,0.859,0.847,0.805,0.671,0.075,0.085,0.083,0.098,0.113,0.081,0.086,0.079,0.103,0.117,all_ex_som_1_row
ann,0.782,0.656,0.683,0.757,0.787,0.786,0.809,0.833,0.702,0.733,0.106,0.108,0.1,0.091,0.09,0.09,0.084,0.078,0.097,0.104,all_ex_som_2_row
ann,0.822,0.695,0.768,0.708,0.717,0.727,0.78,0.804,0.771,0.781,0.089,0.098,0.094,0.088,0.096,0.103,0.094,0.09,0.096,0.092,all_ex_som_3_row
ann,0.699,0.787,0.861,0.713,0.778,0.758,0.56,0.783,0.773,0.0,0.104,0.103,0.077,0.097,0.089,0.084,0.109,0.097,0.1,0.0,all_ex_som_4_row
ann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_ex_som_5_row
